datazone,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01013279,8,6,5,14,12,11,10,8,10,7,19,11,24,8,5,10,13,8,10,16,5,14,6,12,17,12,6,13,1,6,10,16,8,8,10,2,11,2,12,15,8,6,12,11,10,4,8,10,9,12,9,10,4,12,18,6,8,11,13,3,9,9,4,7,6,8,8,11,5,6,6,5,4,6,5,4,4,4,2,2,4,1,3,2,3,0,0,0,0,1,4
S01013280,2,9,10,2,11,9,6,14,11,5,6,8,7,10,8,11,11,5,8,8,11,4,4,12,9,10,5,10,1,7,4,12,10,4,8,12,11,10,2,9,2,11,3,6,6,9,11,14,11,15,4,9,3,4,13,4,4,4,4,10,9,8,6,7,8,5,6,11,2,5,3,8,11,2,5,3,7,4,2,6,4,2,1,1,1,1,3,3,1,3,3
S01013281,10,12,10,13,8,13,10,7,6,17,13,7,14,7,13,12,12,17,6,13,8,14,3,17,12,14,11,15,15,15,14,4,8,12,7,1,6,10,5,5,8,8,12,13,12,20,13,9,10,10,12,15,8,13,14,13,11,2,16,14,15,12,10,8,7,10,8,10,5,9,12,8,12,7,7,5,4,5,5,12,7,3,1,1,3,4,3,5,3,3,2
S01013282,9,9,13,18,6,9,16,3,20,15,9,11,17,14,16,9,10,13,13,8,18,10,4,9,9,10,11,13,3,10,14,11,7,16,16,18,13,7,14,4,8,20,5,8,13,14,8,17,10,13,10,11,15,8,8,10,9,15,10,5,4,4,2,9,7,7,7,7,12,5,5,6,0,5,1,3,2,3,1,2,0,1,0,0,2,1,2,0,0,1,1
S01013283,8,4,9,13,7,3,15,9,7,13,5,7,11,2,2,6,2,4,7,10,6,9,5,9,13,19,17,15,16,31,27,18,27,22,33,24,20,11,13,10,6,5,6,14,17,17,9,9,9,3,5,7,21,9,19,11,7,12,12,3,13,8,3,3,4,1,8,3,4,4,6,6,4,3,0,3,6,2,1,5,2,1,2,2,1,1,1,1,1,1,3
S01013284,2,7,5,2,11,7,6,10,13,7,6,7,7,3,7,0,5,8,9,6,10,4,3,2,10,6,3,8,9,11,11,9,6,13,17,16,6,6,13,13,5,7,8,6,19,2,5,8,12,10,9,9,14,15,9,8,7,9,15,9,11,16,7,7,9,16,9,8,12,5,5,8,7,6,4,4,4,3,2,2,3,1,2,4,1,0,0,0,1,0,1
S01013285,3,3,7,5,4,5,6,7,9,9,4,5,8,9,8,4,2,6,7,11,3,4,1,11,6,11,1,12,8,12,4,13,8,4,8,4,10,16,11,6,2,2,0,5,9,13,14,12,4,10,9,9,12,7,15,13,15,15,11,13,10,14,17,10,12,3,8,6,4,7,6,3,3,3,11,1,2,2,0,3,4,4,0,0,1,3,4,1,0,3,2
S01013286,6,2,5,3,4,4,8,3,2,10,7,7,4,7,6,3,8,4,5,10,6,5,13,4,7,10,6,13,9,14,9,8,6,5,3,2,9,8,7,2,9,1,9,8,10,2,14,8,10,9,12,8,13,10,14,12,14,9,16,10,14,6,8,9,9,11,12,6,5,8,14,4,9,5,7,1,0,5,5,3,6,3,0,2,2,2,4,3,0,0,1
S01013287,7,3,7,5,2,3,1,6,4,5,13,9,4,7,5,7,11,17,13,10,11,11,7,9,14,9,10,7,11,11,5,10,4,3,1,6,8,2,2,5,4,4,6,14,10,10,8,19,20,19,16,20,13,13,15,18,16,21,19,17,18,14,8,19,17,10,13,11,12,8,10,7,3,1,2,7,3,2,4,2,0,2,1,3,0,2,0,1,0,3,1
S01013288,3,5,3,1,7,8,4,7,1,7,6,4,5,5,8,8,3,10,4,5,6,5,6,5,11,4,12,7,7,4,5,1,6,5,2,7,4,12,5,5,16,8,6,6,12,10,13,13,13,8,14,10,17,11,15,12,12,15,6,13,7,6,5,8,11,13,15,7,5,9,9,2,8,15,3,5,6,8,0,2,5,0,7,1,2,1,2,4,1,1,10
